SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1803195,182943,-31,48,45,Active,0,0
1715348,367990,-33,36,35,Active,0,0
1784872,397406,-32,12,9,Active,0,0
1903291,269225,-35,48,42,Active,0,0
2341044,334279,-35,36,35,Active,0,0
2207092,342166,-32,12,12,Active,0,0
1110516,204376,-38,48,43,Active,0,0
1387235,153211,-35,36,36,Active,0,0
1220500,112740,-31,12,12,Active,0,0
2371489,274851,-32,24,16,Active,0,0
2328294,287361,-32,12,12,Active,0,0
2023570,237959,-39,12,12,Active,0,0
1258390,278261,-32,36,36,Active,0,0
1627166,146161,-33,24,24,Active,0,0
1711625,131467,-34,12,5,Active,0,0
2374177,204722,-35,24,15,Active,0,0
1716688,405549,-33,12,1,Active,0,0
1846127,380050,-31,36,28,Active,0,0
1911764,312551,-32,24,16,Active,0,0
2645133,152810,-35,24,23,Active,0,0
1381005,195362,-34,60,56,Active,0,0
1366811,169489,-38,24,24,Active,0,0
1260621,244684,-32,18,12,Active,0,0
1445556,220181,-41,12,12,Active,0,0
1420240,386836,-41,12,11,Active,0,0
2631694,337149,-33,12,11,Active,0,0
1059679,139637,-31,12,12,Active,0,0
1865970,202091,-35,12,7,Active,0,0
2683316,454237,-32,18,15,Active,0,0
2759941,428330,-32,18,18,Active,0,0
2090361,336201,-35,12,12,Active,0,0
1463929,108990,-41,12,12,Active,0,0
2504959,122511,-34,36,35,Active,0,0
1873885,148915,-31,24,23,Active,0,0
1050971,220814,-33,18,12,Active,0,0
2701303,109846,-33,18,12,Active,0,0
2246356,331357,-35,36,35,Active,0,0
1519906,122077,-39,24,11,Active,0,0
2465534,266721,-35,18,17,Active,0,0
2833264,429694,-37,60,46,Active,0,0
2397883,223795,-31,12,7,Active,0,0
1010305,338532,-39,24,21,Active,0,0
1298869,210084,-41,48,0,Completed,0,0
1557122,420239,-38,24,4,Active,0,0
1891208,164877,-34,48,42,Active,0,0
1443121,370945,-33,24,24,Active,0,0
1894403,266542,-37,48,40,Active,0,0
2027470,391768,-41,48,40,Active,0,0
2294245,426454,-38,12,5,Active,0,0
1799734,344436,-32,48,46,Active,0,0
