,SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
0,1054186,161674,1.0,6,-1180.0,-1187.0,6948.36,6948.36
1,1330831,151639,0.0,34,-2156.0,-2156.0,1716.525,1716.525
2,2085231,193053,2.0,1,-63.0,-63.0,25425.0,25425.0
3,2452527,199697,1.0,3,-2418.0,-2426.0,24350.13,24350.13
4,2714724,167756,1.0,2,-1383.0,-1366.0,2165.04,2160.585
5,1137312,164489,1.0,12,-1384.0,-1417.0,5970.375,5970.375
6,2234264,184693,4.0,11,-349.0,-352.0,29432.295,29432.295
7,1818599,111420,2.0,4,-968.0,-994.0,17862.165,17862.165
8,2723183,112102,0.0,14,-197.0,-197.0,70.74,70.74
9,1413990,109741,1.0,4,-570.0,-609.0,14308.47,14308.47
10,1782554,106597,1.0,3,-933.0,-937.0,34620.525,34620.525
11,2558880,154793,1.0,8,-1262.0,-1269.0,15031.08,15031.08
12,1570206,147645,0.0,20,-761.0,-761.0,21.51,21.51
13,1723268,197273,1.0,14,-755.0,-800.0,6093.99,6093.99
14,1594684,100193,0.0,56,-1153.0,-1153.0,301.86,301.86
15,1456258,118323,1.0,6,-2619.0,-2619.0,4844.925,4844.925
16,1053286,170192,1.0,7,-500.0,-503.0,6882.84,6882.84
17,1410565,197687,1.0,1,-1037.0,-1048.0,12514.05,12510.45
18,2391610,183431,0.0,20,-1680.0,-1693.0,7875.0,7875.0
19,2329072,183463,1.0,11,-1699.0,-1693.0,7283.295,7283.295
20,1354314,196570,1.0,14,-361.0,-365.0,15219.0,15219.0
21,2260765,106012,3.0,23,-56.0,-59.0,13494.915,13494.915
22,1995642,134723,1.0,38,-1277.0,-1282.0,12949.2,12949.2
23,2631836,140337,0.0,116,-322.0,-322.0,560.88,560.88
24,2702769,102122,1.0,1,-281.0,-286.0,5178.195,5178.195
25,1770345,128334,1.0,5,-240.0,-255.0,10649.925,10649.925
26,1818333,191655,1.0,6,-345.0,-356.0,16479.27,16479.27
27,1991673,162903,0.0,46,-2548.0,-2561.0,5400.0,5400.0
28,1184783,140804,0.0,106,-155.0,-155.0,503.46,503.46
29,1181315,174565,1.0,7,-1894.0,-1895.0,16274.79,16274.79
30,1840786,175114,1.0,11,-476.0,-474.0,21179.7,21161.7
31,1618622,128303,1.0,5,-2807.0,-2807.0,6523.425,6523.425
32,1720935,176364,1.0,9,-354.0,-356.0,61192.53,61192.53
33,2039177,190995,1.0,5,-1145.0,-1172.0,6966.09,6966.09
34,2671380,111601,1.0,7,-540.0,-548.0,8109.765,8109.765
35,1003606,188637,0.0,105,-174.0,-174.0,110.655,110.655
36,2553780,161066,1.0,3,-162.0,-190.0,11529.63,11529.63
37,1439208,154898,1.0,20,-181.0,-185.0,8851.23,8851.23
38,2717177,149207,0.0,88,-1219.0,-1219.0,741.96,741.96
39,1133724,146582,1.0,6,-316.0,-332.0,17115.57,17115.57
40,2270983,159586,0.0,30,-2022.0,-2046.0,9000.0,1800.0
41,1640082,172575,1.0,4,-827.0,-832.0,8720.28,8720.28
42,1434401,173001,5.0,5,-211.0,-217.0,4802.13,4802.13
43,1682661,179939,1.0,9,-1852.0,-1860.0,3456.675,3456.675
44,2150006,191981,1.0,3,-2060.0,-2068.0,15987.96,15987.96
